Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29822	MROEDRI	Driva	06.05.2019 09:00	142.429	7.24	4.12	0.61	1.71	1.6	<1	3	150	<2	230	3.021	0.034	0.011	<0.003	0.81	2.4	0.2	0.12	
29613	TELESKI	Skienselva	06.05.2019 09:00	301.616	6.74	1.95	0.41	0.42	2.2	<1	3	140	<2	210	2.25	0.077	0.039	0.009	0.34	2.1	0.15	0.069	
29822	MROEDRI	Driva	06.05.2019 09:00																				4.29
29613	TELESKI	Skienselva	06.05.2019 09:00																				1.92
29783	ROGEORR	Orreelva	06.05.2019 09:20	0.864	7.63	20.9	11	17.5	10.4	17	63	430	24	1200	0.251	0.36	0.55	0.017	1.74	3.2	1.23	0.18	
29783	ROGEORR	Orreelva	06.05.2019 09:20																				19.5
29615	VESENUM	Numedalsl?en	06.05.2019 10:00	144.897	6.64	2.35	1.5	3.79	4.2	2	7	130	6	280	3.064	0.16	0.339	0.016	0.67	3.6	0.33	0.15	
29615	VESENUM	Numedalsl?en	06.05.2019 10:00																				2.53
29612	BUSEDRA	Drammenselva	06.05.2019 10:30	410.452	7.32	4.66	0.38	1.55	3.3	1	5	240	2	360	3	0.13	0.098	0.01	0.73	2.8	0.43	0.11	
29612	BUSEDRA	Drammenselva	06.05.2019 10:30																				3.83
29821	HOREVOS	Vosso	06.05.2019 11:00	52.943	6.74	1.92	0.58	0.76	1.1	<1	4	160	7	220	1.299	0.07	0.059	0.006	0.35	0.98	0.28	0.039	
29821	HOREVOS	Vosso	06.05.2019 11:00																				1.21
29782	NOREVEF	Vefsna	06.05.2019 12:30	150.345	7.61	7	0.36	1.19	1.3	<1	2	33	<2	100	1.461	0.082	0.033	0.003	0.34	0.5	0.32	0.069	
29782	NOREVEF	Vefsna	06.05.2019 12:30																				8.52
29614	VAGEOTR	Otra	06.05.2019 13:20	74.648	6.39	1.56	0.6	1.26	2.4	<1	4	69	<2	170	1.101	0.11	0.193	0.012	0.43	2.3	0.42	0.083	
29614	VAGEOTR	Otra	06.05.2019 13:20																				0.986
29778	STREORK	Orkla	06.05.2019 20:15	62.266	7.43	6.84	0.69	0.74	3.4	<1	4	250	<2	400	3.15	0.12	0.022	0.045	7.02	12.9	0.83	0.24	
29778	STREORK	Orkla	06.05.2019 20:15																				8.59
29832	ROGEBJE	Bjerkreimselva	08.05.2019 15:30	24.271	6.54	3.4	<0.3	<0.53	1.2	<1	3	260	<2	370	1.384	0.066	0.121	0.015	0.2	1.9	0.083	0.051	
29832	ROGEBJE	Bjerkreimselva	08.05.2019 15:30																				1.19
30019	AAGEVEG	Veg?dselva	08.05.2019 18:55	12.517	6.18	2.34	1.4	1.91	4.7	<1	7	110	17	280	2.106	0.22	0.338	0.037	0.61	6.2	0.41	0.16	
30019	AAGEVEG	Veg?dselva	08.05.2019 18:55																				1.43
